Input,Label,Output,Auto Check Results,Human Check Results
Can I return a desktop computer if I'm not satisfied with it?,30-day money-back for new desktop computers.,"===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nWarranty Policy\n\nOverview:\n- Purpose: To provide assurance for pre-built desktop computer purchases from DUMMY_PC.\n- Scope: Covers repair or replacement costs for covered issues.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\n===\n",1,1
Is the return policy different for items shipped internationally?,Similar to U.S. policy but does not cover return shipping costs.,"===\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\n===\n",1,1
How long do I have to return a new desktop computer for a full refund?,30-day money-back for new desktop computers.,"===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\n===\n",1,1
Does the money-back guarantee cover shipping and handling fees?,"Excludes shipping, handling, rush service fees.","===\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\n===\n",1,1
"What if the computer has been customized, will it still be eligible for a full refund?","Customized, damaged, or abused products not eligible.","===\nFinancing is not available. \n\nNo discounts or promotions going on right now. \n\nNo bundle deal for any PC. \n\nThere will be a free gaming mouse and a gaming keyboard comes with any type of pre-build system. \n\nUpgradability: All PCs were built using common consumer-level parts. Customers will be capable of upgrading any parts later. \n\nWe only sell Pre-built PCs currently, and no PC parts available for sell. \n\nTo place an order, customer can go to the website 'DUMMY_PC.com', and purchase the PC they want. All products come with one year warranty, and an extra warranty is available at extra spend. The warranty price will be calculated during the purchase. \n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nWarranty Claim Process:\n1. Obtain RMA Number:\n   - Contact: Customer Service for issue reporting and RMA number.\n   - Requirement: Display RMA number on package.\n2. Packaging and Shipping:\n   - Packaging: Secure to prevent transit damage.\n   - Address: DUMMY_PC, Attn: RMA#_______, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n   - Recommendation: Use traceable, insured shipping method. DUMMY_PC not liable for transit damage/loss.\n\n===\n",1,1
Are there any restocking fees for returns?,"No fees within 30 days of invoice date. 15% fee after 30 days, subject to management approval.","===\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\n===\n",0,1
What is the time limit for requesting a refund beyond the 30-day period?,No returns accepted after 45 days from delivery.,"===\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nMiscellaneous:\n- Policy Modification: DUMMY_PC may change policy without notice.\n- Part Availability: If parts unavailable, DUMMY_PC may replace with equal/greater value model or refund purchase.\n\nContact Information:\n- Email: [CustomerService@DUMMY_PC.com](mailto:CustomerService@DUMMY_PC.com)\n- Phone: 1-800-XXX-XXXX.\n\n===\n",1,1
What do I need to do to return a product?,RMA (Return Merchandise Authorization) Policy: Preapproval and RMA number required for all returns.,"===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\nDUMMY_PC U.S. Return Policy\n\nApplicability:\nApplies to new desktop computer systems bought from DUMMY_PC.com.\nFor the original purchaser shipped to a U.S. address.\nFor international orders, see the International Return Policy.\n\nMoney-Back Satisfaction Guarantee:\n30-day money-back for new desktop computers.\nValid for purchases from DUMMY_PC.com only.\n\n===\n",0,1
Who covers the shipping costs for a return?,Sender responsible for shipping costs to DUMMY_PC.,"===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\nInternational Return Policy:\nSimilar to U.S. policy but does not cover return shipping costs.\nFor Canadian shipments, DUMMY_PC may cover shipping both ways, case-dependent.\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\n===\n",1,1
What are the types of RMA Returns available?,Two types: Refund RMA and Normal RMA Parts Exchange.,"===\nRMA (Return Merchandise Authorization) Policy:\nPreapproval and RMA number required for all returns.\nSender responsible for shipping costs to DUMMY_PC.\nTwo types: Refund RMA and Normal RMA Parts Exchange.\n\nReturning RMA Products:\nUnauthorized returns without prior approval may be rejected.\nRMA numbers valid for 30 days.\n\nShipping the Return:\nRMA number must be clearly indicated on package.\nReturn address: DUMMY_PC, 111 S Baldwin Park Blvd, City of Industry, CA 91746.\n\n7. APO/FPO Shipping (US Postal):\n   - Delivery: Varies (destination dependent)\n   - Cost: $149\n\nImportant Notes:\n- Delivery times count from shipment, not order placement.\n- Order processing: 24-48 hours.\n- APO/FPO delivery times vary by destination.\n- Shipping costs are non-refundable.\n- Select shipping method during checkout.\n- Contact customer service for shipping inquiries.\n\nGuarantee Conditions and Exclusions:\nOnly for direct purchases from DUMMY_PC.com.\nOriginal purchaser and original payment form only.\nExcludes shipping, handling, rush service fees.\nCustomized, damaged, or abused products not eligible.\nRefund capped at the original purchase price.\n\nRestocking Fees:\nNo fees within 30 days of invoice date.\n15% fee after 30 days, subject to management approval.\nNo returns accepted after 45 days from delivery.\n\n===\n",1,1
